vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Donald Trump,Joe Biden,male,white,"$125,000 to $149,999",Masters degree,NY,42,0,1,0,0
Donald Trump,Donald Trump,male,white,"$75,000 to $79,999","Completed some college, but no degree",OH,46,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",MA,57,1,0,0,0
Someone else:,I am not sure/don't know,female,black/african american/negro,"$70,000 to $74,999",Associate Degree,MO,64,0,0,1,0
Hillary Clinton,Joe Biden,female,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,46,0,1,0,0
Donald Trump,Donald Trump,male,white,"$250,000 and above",Masters degree,IL,39,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$90,000 to $94,999","Completed some graduate, but no degree",MD,31,0,1,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",FL,28,0,1,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999",High school graduate,OH,79,1,0,0,0
Donald Trump,Donald Trump,female,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NY,57,1,0,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",MI,36,1,0,0,0
Someone else:,I am not sure/don't know,male,white,"$150,000 to $174,999",High school graduate,PA,64,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$100,000 to $124,999","Completed some college, but no degree",NC,68,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$60,000 to $64,999",Associate Degree,NY,57,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,black/african american/negro,"$25,000 to $29,999",High school graduate,GA,25,0,1,0,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"$35,000 to $39,999",High school graduate,OH,46,0,0,1,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",AZ,51,1,0,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$70,000 to $74,999",Associate Degree,GA,58,0,1,0,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999","Completed some college, but no degree",OH,63,1,0,0,0
Donald Trump,Joe Biden,male,black/african american/negro,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",NY,24,0,1,0,0
Someone else:,Someone else,male,white,"$40,000 to $44,999","Completed some graduate, but no degree",OH,67,0,0,0,1
Donald Trump,Donald Trump,male,white,"$175,000 to $199,999",Masters degree,NY,43,1,0,0,0
Hillary Clinton,Joe Biden,female,chinese,NA,"College Degree (such as B.A., B.S.)",NY,59,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$250,000 and above",Doctorate degree,AL,73,0,1,0,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999",Masters degree,GA,54,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$70,000 to $74,999","Completed some college, but no degree",WI,60,0,1,0,0
Don't recall,Joe Biden,male,white,NA,"Completed some graduate, but no degree",CA,42,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$15,000 to $19,999",Associate Degree,NY,63,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"$95,000 to $99,999","Completed some college, but no degree",IL,40,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$150,000 to $174,999",Masters degree,FL,49,0,1,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$50,000 to $54,999",High school graduate,FL,21,0,1,0,0
Donald Trump,Donald Trump,male,white,"$40,000 to $44,999","Completed some college, but no degree",MO,60,1,0,0,0
Donald Trump,Donald Trump,male,white,"$65,000 to $69,999",Other post high school vocational training,OH,71,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$30,000 to $34,999",Other post high school vocational training,PA,33,0,1,0,0
"Did not vote, but was eligible",Donald Trump,male,white,"$35,000 to $39,999",High school graduate,OH,58,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,black/african american/negro,"$35,000 to $39,999",Associate Degree,TX,55,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$20,000 to $24,999",High school graduate,AZ,59,0,1,0,0
Donald Trump,Donald Trump,male,white,"$70,000 to $74,999","Completed some college, but no degree",NJ,83,1,0,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,64,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$80,000 to $84,999","Completed some graduate, but no degree",MI,48,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NC,45,0,1,0,0
Donald Trump,Donald Trump,male,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",WI,56,1,0,0,0
Was not eligible to vote,I am not sure/don't know,female,"other race, nec","Less than $14,999",Completed some high school,IL,23,0,0,1,0
Donald Trump,Donald Trump,male,white,"$65,000 to $69,999","Completed some college, but no degree",FL,68,1,0,0,0
Donald Trump,Donald Trump,male,white,"$50,000 to $54,999","Completed some college, but no degree",GA,37,1,0,0,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"$45,000 to $49,999","Completed some college, but no degree",FL,40,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$250,000 and above",Doctorate degree,TX,35,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$25,000 to $29,999",Associate Degree,IN,66,0,1,0,0
Gary Johnson,I am not sure/don't know,male,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",AL,45,0,0,1,0
Hillary Clinton,Joe Biden,male,"other race, nec","$60,000 to $64,999",High school graduate,WI,45,0,1,0,0
Donald Trump,Donald Trump,male,white,"$30,000 to $34,999",Other post high school vocational training,AZ,61,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",IA,72,0,1,0,0
Was not eligible to vote,Donald Trump,male,white,"$125,000 to $149,999",Associate Degree,SC,67,1,0,0,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",NH,55,1,0,0,0
Was not eligible to vote,Donald Trump,male,white,"$55,000 to $59,999","Completed some college, but no degree",CO,20,1,0,0,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999",Associate Degree,IN,46,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$250,000 and above",Associate Degree,KY,64,0,1,0,0
Donald Trump,Donald Trump,female,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",MI,38,1,0,0,0
Donald Trump,Donald Trump,female,chinese,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",NJ,68,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$85,000 to $89,999","Completed some college, but no degree",CA,64,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$15,000 to $19,999",Completed some high school,TX,37,0,1,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,59,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$80,000 to $84,999",Masters degree,MN,63,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",WI,59,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$15,000 to $19,999",Associate Degree,LA,77,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$125,000 to $149,999",Masters degree,GA,59,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IL,50,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"Less than $14,999",Other post high school vocational training,WI,60,0,1,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",FL,64,1,0,0,0
Was not eligible to vote,I am not sure/don't know,male,white,"$175,000 to $199,999",Masters degree,CA,42,0,0,1,0
"Did not vote, but was eligible",Joe Biden,male,"other race, nec","$55,000 to $59,999","Completed some college, but no degree",CA,23,0,1,0,0
Hillary Clinton,Joe Biden,male,chinese,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",CA,43,0,1,0,0
Hillary Clinton,Someone else,female,white,"$150,000 to $174,999",Masters degree,NY,58,0,0,0,1
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,CA,41,1,0,0,0
Hillary Clinton,Joe Biden,female,japanese,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",CA,57,0,1,0,0
Was not eligible to vote,Donald Trump,male,white,"$30,000 to $34,999",Other post high school vocational training,IL,67,1,0,0,0
Hillary Clinton,Joe Biden,male,other asian or pacific islander,"Less than $14,999","Completed some college, but no degree",NY,20,0,1,0,0
Hillary Clinton,Donald Trump,male,other asian or pacific islander,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",GA,40,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",WA,42,0,1,0,0
Donald Trump,Donald Trump,male,white,"$175,000 to $199,999",Doctorate degree,CA,41,1,0,0,0
Gary Johnson,Joe Biden,female,white,"Less than $14,999",High school graduate,AL,32,0,1,0,0
"Did not vote, but was eligible",Joe Biden,female,white,"$35,000 to $39,999",Completed some high school,NJ,26,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999",High school graduate,OH,63,0,1,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999",Other post high school vocational training,KY,71,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$95,000 to $99,999",Masters degree,NJ,43,0,1,0,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999",Masters degree,IL,42,1,0,0,0
Was not eligible to vote,Joe Biden,female,white,"$125,000 to $149,999",Completed some high school,NY,18,0,1,0,0
Hillary Clinton,Donald Trump,female,white,"$55,000 to $59,999",Completed some high school,ME,61,1,0,0,0
Was not eligible to vote,Donald Trump,female,white,"$50,000 to $54,999",High school graduate,OR,24,1,0,0,0
Hillary Clinton,Someone else,female,black/african american/negro,"Less than $14,999","College Degree (such as B.A., B.S.)",GA,27,0,0,0,1
"Did not vote, but was eligible",Joe Biden,female,white,"Less than $14,999","Completed some college, but no degree",TN,75,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$175,000 to $199,999",Masters degree,VA,29,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$125,000 to $149,999",Masters degree,VA,42,0,1,0,0
Was not eligible to vote,Someone else,male,white,"Less than $14,999",Completed some high school,MO,31,0,0,0,1
"Did not vote, but was eligible",Donald Trump,female,white,"$45,000 to $49,999",Completed some high school,AL,26,1,0,0,0
Donald Trump,Donald Trump,male,white,"$45,000 to $49,999",Associate Degree,NJ,79,1,0,0,0
"Did not vote, but was eligible",Someone else,female,white,"Less than $14,999","College Degree (such as B.A., B.S.)",SD,53,0,0,0,1
Gary Johnson,Joe Biden,male,white,"$100,000 to $124,999","Completed some graduate, but no degree",CT,65,0,1,0,0
Hillary Clinton,I am not sure/don't know,female,white,"$30,000 to $34,999",Other post high school vocational training,WI,70,0,0,1,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$25,000 to $29,999",High school graduate,NJ,41,0,1,0,0
Was not eligible to vote,Joe Biden,male,white,NA,"Completed some college, but no degree",IA,23,0,1,0,0
Don't recall,Donald Trump,male,chinese,NA,"College Degree (such as B.A., B.S.)",HI,52,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$95,000 to $99,999",Doctorate degree,WI,72,0,1,0,0
Donald Trump,Donald Trump,male,white,"$90,000 to $94,999",Associate Degree,IA,48,1,0,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",AR,48,1,0,0,0
Was not eligible to vote,Donald Trump,male,white,"$250,000 and above",High school graduate,FL,18,1,0,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999","Completed some college, but no degree",AR,68,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$150,000 to $174,999",Masters degree,NJ,47,0,1,0,0
Donald Trump,Donald Trump,female,white,"$50,000 to $54,999",Doctorate degree,CA,67,1,0,0,0
Was not eligible to vote,Joe Biden,male,"other race, nec","$45,000 to $49,999",Completed some high school,GA,18,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999",Other post high school vocational training,CA,68,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",NJ,57,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$250,000 and above",Masters degree,PA,58,0,1,0,0
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999",Associate Degree,ND,67,1,0,0,0
Donald Trump,Donald Trump,male,white,"$40,000 to $44,999",High school graduate,PA,79,1,0,0,0
Hillary Clinton,Joe Biden,male,white,NA,"College Degree (such as B.A., B.S.)",TX,49,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$55,000 to $59,999",Masters degree,GA,48,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$60,000 to $64,999",Masters degree,MD,62,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",VA,55,0,1,0,0
Donald Trump,Donald Trump,male,white,"$175,000 to $199,999",Masters degree,IL,40,1,0,0,0
Donald Trump,Donald Trump,female,white,"$35,000 to $39,999",Completed some high school,TN,25,1,0,0,0
Don't recall,Donald Trump,female,white,"$95,000 to $99,999",Associate Degree,NJ,69,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",TX,38,1,0,0,0
Donald Trump,Donald Trump,female,white,"$35,000 to $39,999","Completed some graduate, but no degree",VA,68,1,0,0,0
Was not eligible to vote,Joe Biden,male,"other race, nec","$30,000 to $34,999",Completed some high school,MS,29,0,1,0,0
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999",Associate Degree,TX,65,1,0,0,0
Gary Johnson,I am not sure/don't know,female,white,"$95,000 to $99,999","Completed some college, but no degree",IA,55,0,0,1,0
Donald Trump,Donald Trump,male,white,"$95,000 to $99,999",Masters degree,FL,40,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$95,000 to $99,999","Completed some graduate, but no degree",VA,76,0,1,0,0
Donald Trump,Donald Trump,female,white,"$55,000 to $59,999",High school graduate,ID,75,1,0,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,76,1,0,0,0
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999","Completed some college, but no degree",OR,78,1,0,0,0
Donald Trump,Donald Trump,female,"other race, nec","$20,000 to $24,999","Completed some college, but no degree",VA,82,1,0,0,0
Was not eligible to vote,Joe Biden,male,white,"$250,000 and above","Completed some college, but no degree",MA,18,0,1,0,0
Donald Trump,Donald Trump,male,white,"$25,000 to $29,999","Completed some college, but no degree",FL,76,1,0,0,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999",Masters degree,NY,43,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,OH,41,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",GA,29,0,1,0,0
"Did not vote, but was eligible",I am not sure/don't know,male,white,NA,High school graduate,IL,22,0,0,1,0
Hillary Clinton,Joe Biden,female,"other race, nec","$30,000 to $34,999","Completed some college, but no degree",FL,55,0,1,0,0
Donald Trump,Donald Trump,male,white,"$20,000 to $24,999","Completed some college, but no degree",NJ,67,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",MA,62,0,1,0,0
Hillary Clinton,Joe Biden,male,other asian or pacific islander,"$250,000 and above","College Degree (such as B.A., B.S.)",MA,33,0,1,0,0
Donald Trump,Donald Trump,male,white,"Less than $14,999",Completed some high school,IN,37,1,0,0,0
"Did not vote, but was eligible",I am not sure/don't know,female,"other race, nec","$30,000 to $34,999",Completed some high school,AL,36,0,0,1,0
"Did not vote, but was eligible",Donald Trump,female,white,"Less than $14,999",High school graduate,AL,47,1,0,0,0
Jill Stein,Joe Biden,female,"other race, nec","Less than $14,999","Completed some college, but no degree",ID,75,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$70,000 to $74,999",Associate Degree,NY,39,0,1,0,0
Donald Trump,Donald Trump,female,white,"$45,000 to $49,999",High school graduate,IL,74,1,0,0,0
Hillary Clinton,Joe Biden,male,white,NA,Masters degree,CA,65,0,1,0,0
Donald Trump,Donald Trump,male,white,"$40,000 to $44,999",High school graduate,TX,25,1,0,0,0
Donald Trump,Donald Trump,male,"other race, nec",NA,Other post high school vocational training,IL,27,1,0,0,0
"Did not vote, but was eligible",Someone else,female,white,"$60,000 to $64,999",Other post high school vocational training,OK,33,0,0,0,1
Donald Trump,Donald Trump,male,white,"$250,000 and above","Completed some graduate, but no degree",MO,25,1,0,0,0
Was not eligible to vote,Joe Biden,female,white,"$35,000 to $39,999","Completed some college, but no degree",NC,70,0,1,0,0
Donald Trump,Donald Trump,male,white,"$175,000 to $199,999",Masters degree,GA,40,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",WA,35,0,1,0,0
Was not eligible to vote,Joe Biden,male,white,"Less than $14,999","Completed some college, but no degree",IN,19,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$125,000 to $149,999",Masters degree,TX,72,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$150,000 to $174,999",Masters degree,PA,70,0,1,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,NC,41,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",AZ,71,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$100,000 to $124,999",Masters degree,CA,53,0,1,0,0
"Did not vote, but was eligible",Joe Biden,female,white,"$25,000 to $29,999",High school graduate,TX,45,0,1,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999",Completed some high school,IL,27,1,0,0,0
Donald Trump,Donald Trump,male,white,"$35,000 to $39,999","Completed some college, but no degree",WA,36,1,0,0,0
Was not eligible to vote,I am not sure/don't know,female,black/african american/negro,"Less than $14,999","College Degree (such as B.A., B.S.)",TX,42,0,0,1,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"$15,000 to $19,999",Completed some high school,MO,43,0,0,1,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"Less than $14,999",High school graduate,CO,60,0,1,0,0
Was not eligible to vote,I am not sure/don't know,male,white,NA,"Completed some college, but no degree",TN,20,0,0,1,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"Less than $14,999",Other post high school vocational training,FL,32,0,1,0,0
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999","Completed some college, but no degree",FL,64,1,0,0,0
Donald Trump,Joe Biden,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",PA,51,0,1,0,0
Was not eligible to vote,I am not sure/don't know,female,white,"Less than $14,999",Associate Degree,PA,37,0,0,1,0
Hillary Clinton,Joe Biden,male,"other race, nec","$60,000 to $64,999","Completed some college, but no degree",FL,29,0,1,0,0
Donald Trump,Donald Trump,male,black/african american/negro,"$25,000 to $29,999",High school graduate,CA,59,1,0,0,0
Donald Trump,Donald Trump,male,white,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",MS,55,1,0,0,0
Gary Johnson,Someone else,male,white,"$125,000 to $149,999",Masters degree,VA,38,0,0,0,1
Was not eligible to vote,Donald Trump,male,white,NA,"Completed some college, but no degree",UT,19,1,0,0,0
Was not eligible to vote,I am not sure/don't know,female,white,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",CA,34,0,0,1,0
Donald Trump,Donald Trump,male,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",TX,58,1,0,0,0
Jill Stein,Joe Biden,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,34,0,1,0,0
Hillary Clinton,Joe Biden,male,american indian or alaska native,"$100,000 to $124,999","Completed some graduate, but no degree",CA,41,0,1,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$20,000 to $24,999","Completed some college, but no degree",MO,43,0,1,0,0
Hillary Clinton,I am not sure/don't know,male,white,"$60,000 to $64,999","Completed some college, but no degree",MI,33,0,0,1,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999",Masters degree,MD,41,1,0,0,0
Donald Trump,Joe Biden,male,white,"$150,000 to $174,999",Masters degree,VA,44,0,1,0,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999",Masters degree,NY,41,1,0,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999","Completed some college, but no degree",WA,68,1,0,0,0
"Did not vote, but was eligible",Donald Trump,male,white,"$30,000 to $34,999",High school graduate,UT,47,1,0,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999",Completed some high school,CA,45,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",WA,36,0,1,0,0
Hillary Clinton,Joe Biden,male,other asian or pacific islander,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",HI,43,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",VA,22,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$95,000 to $99,999","Completed some college, but no degree",AZ,43,0,1,0,0
"Did not vote, but was eligible",I am not sure/don't know,male,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",PA,50,0,0,1,0
Was not eligible to vote,I am not sure/don't know,female,other asian or pacific islander,"$30,000 to $34,999",Completed some high school,NY,18,0,0,1,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999","Completed some graduate, but no degree",DC,61,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",WI,63,0,1,0,0
Gary Johnson,Someone else,male,white,"$45,000 to $49,999",Associate Degree,WY,29,0,0,0,1
Donald Trump,Donald Trump,female,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",OH,24,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,other asian or pacific islander,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",NY,24,0,1,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$35,000 to $39,999","College Degree (such as B.A., B.S.)",MA,36,0,1,0,0
Donald Trump,Donald Trump,male,white,"$35,000 to $39,999",High school graduate,NJ,76,1,0,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"$15,000 to $19,999","Completed some college, but no degree",MO,48,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",NC,48,0,1,0,0
Was not eligible to vote,Donald Trump,male,white,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",OH,46,1,0,0,0
Hillary Clinton,Donald Trump,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NY,37,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",MS,31,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$45,000 to $49,999",Masters degree,AL,33,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,NA,"College Degree (such as B.A., B.S.)",VA,50,0,1,0,0
Donald Trump,Donald Trump,male,white,NA,High school graduate,PA,80,1,0,0,0
Hillary Clinton,I am not sure/don't know,female,"other race, nec","$50,000 to $54,999","Completed some college, but no degree",VA,62,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",ME,41,0,1,0,0
Donald Trump,Someone else,male,white,"$65,000 to $69,999",Associate Degree,AZ,62,0,0,0,1
Donald Trump,Donald Trump,male,white,NA,"College Degree (such as B.A., B.S.)",MO,31,1,0,0,0
Hillary Clinton,Joe Biden,male,chinese,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",CA,44,0,1,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$40,000 to $44,999","Completed some college, but no degree",NC,35,0,1,0,0
Donald Trump,Donald Trump,female,white,"Less than $14,999",High school graduate,AZ,69,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,WA,38,1,0,0,0
Was not eligible to vote,Donald Trump,male,white,"$250,000 and above",High school graduate,CA,21,1,0,0,0
Donald Trump,Donald Trump,male,white,"$85,000 to $89,999","Completed some graduate, but no degree",KS,25,1,0,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999",Masters degree,LA,58,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$150,000 to $174,999",Masters degree,PA,40,0,1,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"$45,000 to $49,999",Completed some high school,AL,30,1,0,0,0
Donald Trump,Donald Trump,female,white,"$50,000 to $54,999",Associate Degree,WA,65,1,0,0,0
Donald Trump,Donald Trump,male,white,"$175,000 to $199,999",Doctorate degree,TX,34,1,0,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999",Masters degree,TX,36,1,0,0,0
Was not eligible to vote,I am not sure/don't know,male,white,"$100,000 to $124,999",High school graduate,MD,21,0,0,1,0
Hillary Clinton,Donald Trump,female,white,"$20,000 to $24,999",Completed some high school,NC,44,1,0,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"$35,000 to $39,999","Completed some college, but no degree",MD,57,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,TN,44,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$150,000 to $174,999","Completed some college, but no degree",CT,44,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$65,000 to $69,999",Masters degree,KY,62,0,1,0,0
Hillary Clinton,Someone else,female,white,"$80,000 to $84,999",Masters degree,NY,36,0,0,0,1
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999",Completed some high school,NC,36,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,FL,39,1,0,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$35,000 to $39,999",Completed some high school,MD,38,0,1,0,0
Donald Trump,Donald Trump,female,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",FL,38,1,0,0,0
Was not eligible to vote,Donald Trump,female,white,"Less than $14,999","Completed some college, but no degree",SC,35,1,0,0,0
Donald Trump,Donald Trump,female,white,"$55,000 to $59,999",Other post high school vocational training,PA,68,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$55,000 to $59,999",Other post high school vocational training,SC,37,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999",Associate Degree,CT,61,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$150,000 to $174,999",Masters degree,NY,57,0,1,0,0
Donald Trump,Donald Trump,male,white,"Less than $14,999",Completed some high school,GA,49,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$25,000 to $29,999","Completed some college, but no degree",OH,36,0,1,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"Less than $14,999",Completed some high school,AL,30,1,0,0,0
Donald Trump,I am not sure/don't know,male,white,"$25,000 to $29,999","Completed some college, but no degree",FL,56,0,0,1,0
Donald Trump,Donald Trump,female,other asian or pacific islander,"Less than $14,999",Completed some high school,KS,26,1,0,0,0
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999",Completed some high school,FL,31,1,0,0,0
