vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Was not eligible to vote,Donald Trump,male,white,"$30,000 to $34,999",High school graduate,NY,60,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MI,72,0,1,0,0
Donald Trump,Donald Trump,male,white,"$70,000 to $74,999","Completed some college, but no degree",SC,34,1,0,0,0
Donald Trump,Joe Biden,male,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",GA,31,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$20,000 to $24,999",Associate Degree,MI,39,0,1,0,0
Was not eligible to vote,Donald Trump,male,american indian or alaska native,"Less than $14,999",Completed some high school,OH,33,1,0,0,0
Someone else:,Joe Biden,male,white,NA,Associate Degree,FL,37,0,1,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$50,000 to $54,999","Completed some graduate, but no degree",TX,48,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"$25,000 to $29,999","Completed some college, but no degree",TX,29,0,1,0,0
Donald Trump,Donald Trump,male,white,"$65,000 to $69,999",Associate Degree,FL,40,1,0,0,0
Donald Trump,Donald Trump,male,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",AZ,25,1,0,0,0
Donald Trump,Donald Trump,male,"other race, nec","Less than $14,999",High school graduate,UT,39,1,0,0,0
Don't recall,I am not sure/don't know,female,"other race, nec","$25,000 to $29,999","Completed some college, but no degree",NV,28,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$80,000 to $84,999",Associate Degree,IL,21,0,1,0,0
"Did not vote, but was eligible",Someone else,female,"other race, nec","Less than $14,999",Completed some high school,DE,30,0,0,0,1
Donald Trump,Donald Trump,female,"other race, nec","$35,000 to $39,999","College Degree (such as B.A., B.S.)",TX,63,1,0,0,0
Donald Trump,Donald Trump,male,white,NA,Associate Degree,WA,64,1,0,0,0
"Did not vote, but was eligible",Donald Trump,female,"other race, nec","Less than $14,999","Completed some college, but no degree",CO,41,1,0,0,0
Donald Trump,Donald Trump,male,white,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",CA,36,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Completed some high school,FL,25,1,0,0,0
Was not eligible to vote,Joe Biden,male,white,"$250,000 and above","Completed some college, but no degree",PA,19,0,1,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999",Masters degree,NJ,41,1,0,0,0
Hillary Clinton,Donald Trump,male,white,"$70,000 to $74,999","Completed some graduate, but no degree",TX,62,1,0,0,0
Was not eligible to vote,Donald Trump,male,white,"$50,000 to $54,999","Completed some college, but no degree",NY,33,1,0,0,0
Hillary Clinton,I am not sure/don't know,female,other asian or pacific islander,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,41,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",VA,37,0,1,0,0
Donald Trump,Donald Trump,female,white,"$35,000 to $39,999",Completed some high school,OH,40,1,0,0,0
